Title,Pieces,Minifigs,Price
Corner Garage,2569.0,6,179.99
Ford Mustang,1471.0,,169.99
NASA Apollo 11 Lunar Lander,1087.0,2,99.99
Gingerbread House,1477.0,2,89.99
Harley-Davidson Fat Boy,1023.0,,89.99
Woody & RC,69.0,1,9.74
Duke Caboom's Stunt Show,120.0,2,19.49
Buzz and Bo Peep's Playground Adventure,139.0,3,24.36
RV Vacation,178.0,3,34.11
Buzz & Woody's Carnival Mania!,230.0,5,49.99
Carnival Thrill Coaster,98.0,2,19.49
My First Tow Truck,11.0,,9.74
My First Balancing Animals,15.0,,14.61
My First Fun Puzzle,15.0,,19.49
My First Car Creations,34.0,,19.99
Creative Fun,120.0,1,34.99
Mickey's Vacation House,57.0,3,48.73
Spider-Man vs. Electro,29.0,2,19.99
Toy Story Train,21.0,2,19.99
Emmet and Lucy's Visitors from the DUPLO Planet,53.0,2,29.99
My First Minnie Build,10.0,,9.99
My First Mickey Build,9.0,,9.74
Frozen Ice Castle,59.0,3,49.99
Police Bike,8.0,1,9.99
Fire Truck,21.0,2,19.99
Police Station,38.0,3,29.99
Fire Station,76.0,2,49.99
Baby Animals,9.0,,9.74
Tropical Island,73.0,3,59.99
World Animals,121.0,6,99.99
Plane,12.0,1,9.99
Submarine Adventure,24.0,2,19.99
Bricks and Ideas,123.0,,9.99
Basic Brick Set ,300.0,,19.99
Bricks and Eyes ,451.0,,29.23
Windows of Creativity,450.0,,29.23
Creative Fun,900.0,,34.11
Star Wars: Build Your Own Adventure Galactic Missions parts,66.0,1,
The Book of Bedtime Builds parts,68.0,,
Harry Potter: Build Your Own Adventure parts,101.0,1,
Christmas Ideas parts,41.0,,
Wooden Minifigure parts,29.0,,
San Francisco,565.0,,49.99
Paris,649.0,,49.99
Trafalgar Square,1197.0,,79.99
Empire State Building,1767.0,,99.99
Burj Khalifa,333.0,,39.99
Minecraft Steve BigFig with Parrot,159.0,,14.99
Minecraft Alex BigFig with Chicken,160.0,,14.99
Minecraft Skeleton BigFig with Magma Cube,142.0,,14.99
The End Battle,222.0,2,19.99
